TC ID	대분류(진행 단계)	중분류(화면/패널)	소분류(요소)	Preconditions(사전조건)	Test procedure(테스트 절차)	API 확인(요청/응답)	Expected result(기대 결과)
TC_PREP_001	사전 준비	Unity Editor	Tools > Bake Seoul Building Data	seoul_buildings.geojson 파일 존재	Unity 메뉴 Tools > Bake Seoul Building Data 실행	해당없음(로컬 GeoJSON 처리)	Assets/Resources/Districts/{구ID}/District.bytes 및 PolygonData.bytes 생성, Console에 "모든 구역 바이너리 빌드 완료!" 로그 출력
TC_PREP_002	사전 준비	Unity Editor	Tools > Bake Terrain Heights	TC_PREP_001 완료, 씬에 Cesium3DTileset·BuildingManager 존재	Play 모드 진입 > Tools > Bake Terrain Heights 창 열기 > Bake 실행	해당없음(Cesium 로컬 샘플링)	25개 구 각각 Assets/Resources/Districts/{구ID}/TerrainHeights.bytes 생성, 상태창에 "전체 완료" 표시
TC_PREP_003	사전 준비	API 서버	Health Check	Python 환경·모델 pkl·.env 준비	GET /health 호출	[요청] GET /health / [응답] 200 {"status":"ok"}	서버 정상 기동 확인
TC_INIT_001	초기 진입	메인 씬	초기 실행 로그(시스템 초기화)	TC_PREP_001·002 완료	시뮬레이션 씬 Play 실행 > Unity Console 로그 확인	해당없음(로컬 Resources 바이너리 로드)	Console에 아래 순서로 로그 출력: ①[GuBoundaryDecal] 완료 — 구 25개, 텍스처 4096px ②[CityManager] Start() - 구역별 건물 데이터 로드 및 메쉬 생성 시작... ③[CityManager] 렌더링 버퍼 초기화 완료 (N개, 8바이트/건물) ④[DistrictManager] 건물 매핑 테이블 구축 완료 (N개) ⑤[DistrictManager] GPU 버퍼 준비 완료 (N개 건물) ⑥[BuildingManager] Tileset 준비 완료. 구역별 메시 생성 시작... (N=Bake 건수, 예: 543,485) / 연·월 미선택 상태이므로 ONI·predict API 호출 없음
TC_INIT_002	초기 진입	메인 씬	건물 오브젝트	TC_INIT_001 진행 중	TC_INIT_001 ⑥번 로그 이후 약 2~3초 대기 > 3D 뷰·Console 확인	해당없음	Console에 "[BuildingManager] 모든 구역 메시 생성 완료." 출력, 25개 구 건물 메시가 좌표에 맞게 누락/중복 없이 표시
TC_INIT_003	초기 진입	메인 씬	건물 오브젝트(종로구)	TC_INIT_002 완료	3D 뷰에서 종로구(11110) 건물 표시 확인	해당없음	종로구 건물 기본 활성 표시, 나머지 구는 비활성 상태(구 선택·카메라 이동 시 활성화됨)
TC_INIT_004	초기 진입	Panel_HUD_Info	실시간 기온	API 서버 기동, 씬 진입	HUD 상단 기온 영역 확인	[요청] GET /weather/current (Start 시 1회, 이후 3600초 주기) / [응답] 200	HUD에 현재 기온 수치 표시
TC_INIT_005	초기 진입	SimulationDatePicker	초기 상태	씬 최초 진입, 연·월 미선택	DatePicker 상태 텍스트·ONI 패널 확인	해당없음	상태 텍스트 "연/월을 선택하세요", 체크 아이콘 비활성, Panel_ONI_Adjust 숨김 상태
TC_INIT_006	초기 진입	메인 씬	건물 오브젝트(오류)	TerrainHeights 미생성 구 존재(Bake 미실행)	Bake Terrain Heights 미실행 상태로 씬 진입	해당없음	Console Error "TerrainHeights 없음. Tools > Bake Terrain Heights 를 먼저 실행하세요" 출력, 해당 구 메시 미생성
TC_DATE_001	연월 선택	SimulationDatePicker	연 카드[버튼]	TC_INIT_005 상태	연 카드 클릭 > 연도 팝업에서 2030 선택	해당없음	연 카드에 "2030" 표시, 월 미선택 상태이므로 API 미호출
TC_DATE_002	연월 선택	SimulationDatePicker	월 카드[버튼]	TC_DATE_001에서 연도 선택 완료	월 카드 클릭 > 8월 선택	해당없음	월 카드에 "8" 표시, 연+월 모두 채워지면 자동으로 API 호출 트리거
TC_DATE_003	연월 선택	DataManager	API 병렬 호출	연 2030·월 8 확정 직후	네트워크 탭 또는 Console 모니터링	[요청] GET /oni?year=2030&month=8 및 GET /predict/oni_range?year=2030&month=8 (병렬) / [응답] 200	두 요청이 동시 전송되고, /oni 응답 완료 전까지 ONI 패널 비활성(로딩 중) 상태 유지
TC_DATE_004	연월 선택	Panel_ONI_Adjust	ONI 슬라이더	TC_DATE_003의 /oni 응답 완료	/oni 응답 수신 후 UI 확인	[응답] {"output":{"oni":값}}	Panel_ONI_Adjust 표시, 슬라이더 초기값이 응답 oni와 일치, 유형(라니냐/중립/엘니뇨) 텍스트 표시
TC_DATE_005	연월 선택	SimulationDatePicker	상태 텍스트	TC_DATE_004 완료	DatePicker 상태 영역 확인	해당없음	상태 텍스트 "기준 ONI 데이터 로드됨" + 체크 아이콘 활성
TC_DATE_006	연월 선택	DataManager	Predict 연쇄 호출	TC_DATE_003의 /oni 완료	/oni 직후 predict 호출 확인	[요청] GET /predict?year=2030&month=8&oni={oni값} / [응답] 200, predicted.regions 25개	서울 25개 구 기온·소비·경보·건물유형 점수 파싱 완료, 미니맵·차트·게이지에 반영
TC_DATE_007	연월 선택	Panel_ONI_Trend	ONI 범위 차트	TC_DATE_003의 /predict/oni_range 완료	Panel_ONI_Trend 차트 확인	[응답] oni_range 51포인트(-2.5~+2.5)	기온·공급·소비·예비율 라인 차트 표시, 라니냐/중립/엘니뇨 배경 영역 및 현재 ONI 수직선 표시
TC_DATE_008	연월 선택	DataManager	Blackout API(심각)	alert_level=4가 나오는 연·월·ONI 조합	해당 조건으로 연·월 선택	[요청] GET /predict(alert_level=4) 후 POST /blackout_simulation body {"year":Y,"month":M,"oni":V} / [응답] 200	districts_order·blackout_items 파싱 완료, 순환단전 버튼 활성 조건 충족
TC_DATE_009	연월 선택	DataManager	Blackout API(비심각)	alert_level < 4 연·월	일반 연·월 선택	[요청] GET /predict(alert_level<4), POST /blackout_simulation 미호출	블랙아웃 순회 목록 비움, 순환단전 버튼 회색 비활성
TC_DATE_010	연월 선택	SimulationDatePicker	API 실패	API 서버 중지 상태	연·월 선택	[요청] GET /oni 연결 실패	Console Error 출력, ONI 패널 미표시, 상태 텍스트 "연/월을 선택하세요" 유지
TC_DATE_011	연월 선택	SimulationDatePicker	연·월 재선택	이전 연·월 로드 완료	다른 연·월로 변경	새 연월로 GET /oni, GET /predict/oni_range, GET /predict 재호출	이전 차트·색상이 초기화된 후 새 결과로 갱신(잔상 없음)
TC_ONI_001	ONI 설정	Panel_ONI_Slider	ONI 슬라이더	TC_DATE_004 완료	슬라이더를 -2.5~+2.5 범위 내 임의 값으로 드래그	해당없음(드래그 중 API 없음)	슬라이더 값·유형 텍스트가 실시간 갱신되며 -2.5~+2.5 범위를 벗어나지 않음
TC_ONI_002	ONI 설정	Panel_ONI_Adjust	ONI 영향 4패널	/predict/oni_range 로드 완료	슬라이더 드래그 중 4패널 관찰	해당없음(캐시 데이터 보간)	Panel_Temperature·Panel_EnergyUsage·Panel_EnergySupply·Panel_ReserveRate 비율이 실시간 보간되어 표시
